,,
TRANSFERTS RELATIFS À DES ENTENTES DE PARTAGE - DE FRAIS ET AUTRES TRANSFERTS - FONCTIONNEMENT,,
Administration générale sécurité publique,1,5600
Police,2,503800
Sécurité incendie,3,
Sécurité civile,4,
Autres,5,
Transport,,
Réseau routier,,
   Voirie municipale,6,22000
   Enlèvement de la neige,7,
   Autres,8,
Transport collectif,,
   Transport en commun,,
      Transport régulier,9,
      Transport adapté,10,
      Transport scolaire,11,
      Autres,12,
   Transport aérien,13,215800
   Transport par eau,14,
Autres,15,
Hygiène du milieu,,
Eau et égout,,
   Approvisionnement et traitement de l'eau potable,16,
   Réseau de distribution de l'eau potable,17,
   Traitement des eaux usées,18,2007800
   Réseaux d'égout,19,
Matières résiduelles,,
   Déchets domestiques et assimilés,20,
   Matières recyclables,,
      Collecte sélective,,
         Collecte et transport,21,1530000
         Tri et conditionnement,22,
      Autres,23,
   Autres,24,1600000
Cours d'eau,25,
Protection de l'environnement,26,101000
Autres,27,
Santé et bien-être,,
Logement social,28,1052000
Sécurité du revenu,29,
Autres,30,34800
"Aménagement, urbanisme et développement",,
"Aménagement, urbanisme et zonage",31,
Rénovation urbaine,32,85950
Promotion et développement économique,33,1433850
Autres,34,20000
Loisirs et culture,,
Activités récréatives,35,236550
Activités culturelles,,
   Bibliothèques,36,283800
   Autres,37,313300
Réseau d'électricité,38,
,39,9446250
,,
Administration générale - Sécurité publique,40,
Police,41,
Sécurité incendie,42,
Sécurité civile,43,
Autres,44,
Transport,,
Réseau routier,,
   Voirie municipale,45,1428000
   Enlèvement de la neige,46,
   Autres,47,
Transport collectif,,
   Transport en commun,,
      Transport régulier,48,
      Transport adapté,49,
      Transport scolaire,50,
      Autres,51,
   Transport aérien,52,
   Transport par eau,53,300000
Autres,54,
Hygiène du milieu,,
Eau et égout,,
   Approvisionnement et traitement de l'eau potable,55,
   Réseau de distribution de l'eau potable,56,6380500
   Traitement des eaux usées,57,1420000
   Réseaux d'égout,58,6650500
Matières résiduelles,,
   Déchets domestiques et assimilés,59,
   Matières recyclables,,
      Collecte sélective,,
         Collecte et transport,60,
         Tri et conditionnement,61,
      Autres,62,
   Autres,63,
Cours d'eau,64,
Protection de l'environnement,65,
Autres,66,
Santé et bien-être,67,
Logement social,,
Sécurité du revenu,67,
Autres,68,
"Aménagement, urbanisme et développement",69,
"Aménagement, urbanisme et zonage",70,
Rénovation urbaine,71,
Promotion et développement économique,72,
Autres,73,
Loisirs et culture,,
Activités récréatives,74,675000
Activités culturelles,,
   Bibliothèques,75,
   Autres,76,225000
Réseau d'électricité,77,
,78,17079000
,,
Regroupement municipal,79,
Péréquation,80,
Réorganisation municipale,81,
Neutralité,82,22000
Diversification des revenus,83,
Compensation pour la collecte sélective de matières recyclables,84,
Programme d'aide financière aux MRC,85,
Autres,86,
,87,22000
,,
TOTAL DES TRANSFERTS,88,26547250
